FeltenDim,Problem,Subproblem,Dataset,Title,Metric,Date,Algorithm,Metric Performance,Source
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2011-07-01,An Analysis of Single-Layer Networks in Unsupervised Feature Learning,79.6,An Analysis of Single-Layer Networks in Unsupervised Feature Learning
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2011-07-01,Hierarchical Kernel Descriptors,80,Object Recognition with Hierarchical Kernel Descriptors
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2012-06-16,MCDNN,88.79,Multi-Column Deep Neural Networks for Image Classification
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2012-06-26,Local Transformations,82.2,Learning Invariant Representations with Local Transformations
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2012-07-03,Improving neural networks by preventing co-adaptation of feature detectors,84.4,Improving neural networks by preventing co-adaptation of feature detectors
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2012-12-03,Learning with Recursive Perceptual Representations,79.7,Learning with Recursive Perceptual Representations
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2012-12-03,Discriminative Learning of Sum-Product Networks,83.96,Discriminative Learning of Sum-Product Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2012-12-03,DCNN,89,ImageNet Classification with Deep Convolutional Neural Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2012-12-03,GP EI,90.5,Practical Bayesian Optimization of Machine Learning Algorithms
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2013-01-16,Stochastic Pooling,84.87,Stochastic Pooling for Regularization of Deep Convolutional Neural Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2013-06-16,Maxout Networks,90.65,Maxout Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2013-06-16,DropConnect,90.68,Regularization of Neural Networks using DropConnect
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2013-07-01,Smooth Pooling Regions,80.02,Learning Smooth Pooling Regions for Visual Recognition
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2014-04-14,DNN+Probabilistic Maxout,90.61,Improving Deep Neural Networks with Probabilistic Maxout Units
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2014-04-14,NiN,91.2,Network In Network
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2014-06-21,PCANet,78.67,PCANet: A Simple Deep Learning Baseline for Image Classification?
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2014-06-21,Nonnegativity Constraints,82.9,Stable and Efficient Representation Learning with Nonnegativity Constraints
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2014-07-01,DSN,91.78,Deeply-Supervised Nets
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2014-08-28,CKN,82.18,Convolutional Kernel Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2014-09-22,SSCNN,93.72,Spatially-sparse convolutional neural networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2014-12-08,Discriminative Unsupervised Feature Learning with Convolutional Neural Networks,82,Discriminative Unsupervised Feature Learning with Convolutional Neural Networks
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2014-12-08,Deep Networks with Internal Selective Attention through Feedback Connections,90.78,Deep Networks with Internal Selective Attention through Feedback Connections
Image Recognition,Vision,Image Recognition,CIFAR-10,CIFAR-10 Image Recognition,Percentage Correct,2015-02-13,An Analysis of Unsupervised Pre-training in Light of Recent Advances,86.7,An Analysis of Unsupervised Pre-training in Light of Recent Advances
