FeltenDim,Subfield,Topic,Subtask,Dataset,Metric,Model,Metric Performance,Date,EFF Title,
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,ViT-P (InternImage-H),0.636,2025-05-26,,0.00636
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,ONE-PEACE,0.63,2023-05-18,,0.0063
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,InternImage-H,0.629,2022-11-10,,0.00629
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,M3I Pre-training (InternImage-H),0.629,2022-11-17,,0.00629
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,BEiT-3,0.628,2022-08-22,,0.00628
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,EVA,0.623,2025-05-26,,0.00623
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,"ViT-P (OneFormer, InternImage-H)",0.616,2023-05-18,,0.00616
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,"ViT-Adapter-L (Mask2Former, BEiTv2 pretrain)",0.615,2022-11-10,,0.00615
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,FD-SwinV2-G,0.614,2022-11-17,,0.00614
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,RevCol-H (Mask2Former),0.61,2022-08-22,,0.0061
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,"MasK DINO (SwinL, multi-scale)",0.608,2025-05-26,,0.00608
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,"ViT-Adapter-L (Mask2Former, BEiT pretrain)",0.605,2023-05-18,,0.00605
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,"DINOv2 (ViT-g/14 frozen model, w/ ViT-Adapter + Mask2former)",0.602,2022-11-10,,0.00602
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,"ViT-P (OneFormer, DiNAT-L)",0.599,2022-11-17,,0.00599
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,SwinV2-G(UperNet),0.599,2022-08-22,,0.00599
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,PIIP-LH6B(UperNet),0.599,2025-05-26,,0.00599
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,SERNet-Former,0.5935,2023-05-18,,0.005935
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,FocalNet-L (Mask2Former),0.585,2022-11-10,,0.00585
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,"ViT-Adapter-L (UperNet, BEiT pretrain)",0.584,2022-11-17,,0.00584
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,RSSeg-ViT-L (BEiT pretrain),0.584,2022-08-22,,0.00584
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,"EoMT (DINOv2-L, single-scale, 512x512)",0.584,2025-05-26,,0.00584
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,SegViT-v2 (BEiT-v2-Large),0.582,2023-05-18,,0.00582
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,SeMask (SeMask Swin-L FaPN-Mask2Former),0.582,2022-11-10,,0.00582
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,SeMask (SeMask Swin-L MSFaPN-Mask2Former),0.582,2022-11-17,,0.00582
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,DiNAT-L (Mask2Former),0.581,2022-08-22,,0.00581
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,HorNet-L (Mask2Former),0.579,2025-05-26,,0.00579
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,Mask2Former (SwinL-FaPN),0.577,2023-05-18,,0.00577
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,FASeg (SwinL),0.577,2022-11-10,,0.00577
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,RR (BEiT-L),0.577,2022-11-17,,0.00577
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,"MOAT-4 (IN-22K pretraining, single-scale)",0.576,2022-08-22,,0.00576
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,"Frozen Backbone, SwinV2-G-ext22K (Mask2Former)",0.576,2025-05-26,,0.00576
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,SeMask (SeMask Swin-L Mask2Former),0.575,2023-05-18,,0.00575
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,Mask2Former (SwinL),0.573,2022-11-10,,0.00573
Image Recognition,Medical,10-shot image generation,Semantic Segmentation,ADE20K,Mean IoU,SenFormer (BEiT-L),0.571,2022-11-17,,0.00571
