,Image Recognition,Speech Recognition,Abstract Strategy Games,Language Modeling,Reading Comprehension,Real-Time Video Games,Instrumental Track Recognition,Image Generation,Translation,Visual QA,Drug Discovery
1985-01-01,0.0,0.0,0.11348195375699283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-01-01,0.0,0.0,0.051211189210772945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-01-01,0.0,0.0,0.035754574624015156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989-01-01,0.0,0.0,0.01691582623920515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-01,0.0,0.0,0.053313945132990564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-01-01,0.0,0.0,0.01669797609616419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-01-01,0.0,0.0,0.02767243936651459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-01-01,0.0,0.0,0.031273193781335085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-01,0.0,0.0,0.013353633709853485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-01-01,0.0,0.0,0.15360037255848652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,0.0,0.0,0.012399867119941677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-01,0.336472236621213,0.0,0.011531659319036103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0032194626269731463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.002853068982406337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,0.025317807984289786,0.0,0.06447174540384815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0780116236880306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,0.10927474126324646,0.0,0.00952827248663013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,0.02551873075556422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,0.20492019021753333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.2219035929550835,0.311624683197264,0.0,0.0,0.0,0.058572575945557176,0.0,0.0,0.0,0.0,0.0
2014-01-01,0.1595724442588255,0.07980006419519749,0.007922040212396952,0.015133266614747504,0.0,0.0,0.5438018920076254,0.0,0.0,0.0,0.0
2015-01-01,0.18641495030517713,0.5424394632659467,0.011766616374131789,0.033896491382036285,0.07357502773529671,0.9093210367693217,0.0,0.08134563945395261,0.0024038646748604934,0.0,0.0
2016-01-01,0.05696888966608719,0.162207460077819,0.009552311440012118,0.27333793553119196,0.08251043688822016,0.16339121519251684,0.0,0.34669379069275086,0.0620427120336909,0.11925930870889656,0.0
2017-01-01,0.07644627271172676,0.027683969181300293,0.011813486471882184,0.11619934128708848,0.02732305797485314,0.2978227492586604,1.0182898998292766,0.0,0.04177637925157783,0.07374295759032191,0.014637789422345846
2018-01-01,0.08384340858875998,0.18079278916630054,0.03547596245263662,0.14099974818028532,0.0741256452903849,0.3918287275753919,0.0,0.3423767306628217,0.09838168151884467,0.012740268301151613,0.0018648153750246497
2019-01-01,0.0981136916715613,0.26371864253622357,0.0,0.2620673746065017,0.08721655154876602,0.9475960477712265,0.07173173341183867,0.0,0.06044321502601742,0.0445896749967417,0.0020773412377619533
2020-01-01,0.07987024913545543,0.27853274215498136,0.006195517174069853,0.09329408521074725,0.042979046925138,0.16320593010598677,0.0,1.0789703853549684,0.04239882912089118,0.04656932521219216,0.04144240340656891
2021-01-01,0.081835100307657,0.14076204031566494,0.0,0.24752582075439392,0.012605446587459029,0.12473641269356534,0.12836342246607996,0.20560874321951367,0.04365844327408922,0.14772425138221038,0.0
2022-01-01,0.03802303231987868,0.22748872835626732,0.0,0.02011973063752326,0.012922785714339103,0.07785761932908694,0.17798652845686175,0.5908458970193325,0.02251673551673226,0.1360184330091804,0.005194833229567304
2023-01-01,0.017311598968963893,0.09680291694970355,0.0,0.08770955284230054,0.010323360050724869,0.0,0.1324347424922142,0.3160082636795234,0.0,0.029996996962350076,0.016388738686298258
2024-01-01,0.27551255183122847,0.24897464875359127,0.0,0.0663275093058044,0.0259141205358016,0.0,0.0,0.11881298059694934,0.0,0.0,0.011470784621203434
2025-01-01,0.00024971474051913023,0.07206622341445372,0.0751878701061691,0.019802627296179653,0.0,0.0,0.0,0.13190729552256875,0.0,0.0,0.0
