ONETOCCSOC_2018,O*NET-SOC Code,Title,Date,INR,IR,PNR,PR
111021,11-1021.00,General and Operations Managers,07/2015,0.777777777777778,0,0.222222222222222,0
112011,11-2011.00,Advertising and Promotions Managers,06/2010,0.588235294117647,0,0.411764705882353,0
112021,11-2021.00,Marketing Managers,07/2015,0.5,0,0.416666666666667,0.0833333333333333
112022,11-2022.00,Sales Managers,06/2008,0.5,0,0.5,0
113021,11-3021.00,Computer and Information Systems Managers,06/2008,0.352941176470588,0,0.647058823529412,0
113031,11-3031.02,"Financial Managers, Branch or Department",07/2014,0.5,0,0.454545454545455,0.0454545454545455
113051,11-3051.00,Industrial Production Managers,07/2013,0.193548387096774,0,0.67741935483871,0.129032258064516
113061,11-3061.00,Purchasing Managers,06/2009,0.333333333333333,0,0.4,0.266666666666667
113071,11-3071.01,Transportation Managers,07/2014,0.444444444444444,0,0.481481481481482,0.0740740740740741
113111,11-3111.00,Compensation and Benefits Managers,06/2008,0.333333333333333,0,0.533333333333333,0.133333333333333
113121,11-3121.00,Human Resources Managers,06/2008,0.619047619047619,0,0.333333333333333,0.0476190476190476
113131,11-3131.00,Training and Development Managers,06/2008,0.5,0,0.5,0
119013,11-9013.03,Aquacultural Managers,12/2006,0.222222222222222,0,0.648148148148148,0.12962962962963
119021,11-9021.00,Construction Managers,07/2013,0.294117647058824,0,0.647058823529412,0.0588235294117647
119041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,07/2014,0.318181818181818,0,0.636363636363636,0.0454545454545455
119051,11-9051.00,Food Service Managers,06/2008,0.333333333333333,0.0952380952380952,0.285714285714286,0.285714285714286
119071,11-9071.00,Gaming Managers,07/2014,0.6,0,0.133333333333333,0.266666666666667
119081,11-9081.00,Lodging Managers,06/2010,0.523809523809524,0.142857142857143,0.142857142857143,0.19047619047619
119111,11-9111.00,Medical and Health Services Managers,06/2008,0.4375,0,0.5,0.0625
119121,11-9121.00,Natural Sciences Managers,07/2014,0.288461538461538,0,0.653846153846154,0.0576923076923077
119141,11-9141.00,"Property, Real Estate, and Community Association Managers",07/2013,0.611111111111111,0,0.166666666666667,0.222222222222222
119151,11-9151.00,Social and Community Service Managers,06/2009,0.714285714285714,0,0.214285714285714,0.0714285714285714
119161,11-9161.00,Emergency Management Directors,06/2010,0.45,0,0.55,0
131011,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",06/2007,0.777777777777778,0,0.111111111111111,0.111111111111111
131021,13-1021.00,"Buyers and Purchasing Agents, Farm Products",07/2013,0.333333333333333,0,0.166666666666667,0.5
131022,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",07/2015,0.4,0,0.5,0.1
131023,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",07/2011,0.277777777777778,0,0.555555555555556,0.166666666666667
131041,13-1041.02,Licensing Examiners and Inspectors,07/2015,0.397435897435897,0,0.512820512820513,0.0897435897435897
