O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source,ONETOCCSOC_2018
11-9111.00,Medical and Health Services Managers,51,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Core,28,06/2008,Occupational Expert,119111
11-9111.00,Medical and Health Services Managers,46,"Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.",Core,29,06/2008,Occupational Expert,119111
11-9111.00,Medical and Health Services Managers,53,"Maintain communication between governing boards, medical staff, and department heads by attending board meetings and coordinating interdepartmental functioning.",Core,29,06/2008,Occupational Expert,119111
11-9111.00,Medical and Health Services Managers,61,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,Core,29,06/2008,Occupational Expert,119111
11-9111.00,Medical and Health Services Managers,58,"Plan, implement and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff.",Core,29,06/2008,Occupational Expert,119111
11-9111.00,Medical and Health Services Managers,48,"Direct or conduct recruitment, hiring and training of personnel.",Core,29,06/2008,Occupational Expert,119111
11-9111.00,Medical and Health Services Managers,52,"Establish work schedules and assignments for staff, according to workload, space and equipment availability.",Core,29,06/2008,Occupational Expert,119111
11-9111.00,Medical and Health Services Managers,55,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",Core,29,06/2008,Occupational Expert,119111
11-9111.00,Medical and Health Services Managers,54,"Monitor the use of diagnostic services, inpatient beds, facilities, and staff to ensure effective use of resources and assess the need for additional staff, equipment, and services.",Core,28,06/2008,Occupational Expert,119111
11-9111.00,Medical and Health Services Managers,49,"Develop and maintain computerized record management systems to store and process data such as personnel activities and information, and to produce reports.",Core,29,06/2008,Occupational Expert,119111
11-9111.00,Medical and Health Services Managers,47,Establish objectives and evaluative or operational criteria for units they manage.,Core,28,06/2008,Occupational Expert,119111
11-9111.00,Medical and Health Services Managers,57,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Core,28,06/2008,Occupational Expert,119111
11-9111.00,Medical and Health Services Managers,60,"Inspect facilities and recommend building or equipment modifications to ensure emergency readiness and compliance to access, safety, and sanitation regulations.",Core,28,06/2008,Occupational Expert,119111
