O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source,ONETOCCSOC_2018
11-1021.00,General and Operations Managers,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Core,157,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",Core,157,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,20700,Direct administrative activities directly related to making products or providing services.,Core,156,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,20701,Prepare staff work schedules and assign specific duties.,Core,158,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,Core,157,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,157,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",Core,157,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,20705,"Perform personnel functions such as selection, training, or evaluation.",Core,158,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,20706,Plan or direct activities such as sales promotions that require coordination with other department managers.,Core,158,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,20707,Set prices or credit terms for goods or services based on forecasts of customer demand.,Supplemental,158,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",Supplemental,158,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",Supplemental,158,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",Supplemental,158,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,948,Recommend locations for new facilities or oversee the remodeling or renovating of current facilities.,Supplemental,158,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,19501,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",Supplemental,157,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,947,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",Supplemental,158,07/2015,Incumbent,111021
11-1021.00,General and Operations Managers,949,Plan store layouts or design displays.,Supplemental,158,07/2015,Incumbent,111021
11-2011.00,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",Core,61,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3230,Gather and organize information to plan advertising campaigns.,Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3232,Confer with clients to provide marketing or technical advice.,Core,61,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3228,Prepare and negotiate advertising and sales contracts.,Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3238,Plan and execute advertising policies and strategies for organizations.,Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3225,Assist with annual budget development.,Core,62,06/2010,Incumbent,112011
11-2011.00,Advertising and Promotions Managers,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,Core,62,06/2010,Incumbent,112011
