O*NET 2018 SOC Code,ONET_release_year,pct_healthcare_tot_emp,total_intensity,classification,task_intensity,bucket_weight,percentile
11-1011,2006,0.0013881786579474,0.9999999999999989,HC-I-NM,0.2007835769982566,0.00027872347645531865,0.23507700009167112
11-1011,2007,0.0013511603584247,0.9999999999999989,HC-I-NM,0.2007835769982566,0.00027129080986275806,0.23507700009167112
11-1011,2008,0.0014068363089495,0.9999999999999983,HC-I-NM,0.2041037971017727,0.00028714063255723605,0.23610462394888732
11-1011,2009,0.0014901796089976,0.9999999999999983,HC-I-NM,0.2041037971017727,0.00030415131656004566,0.23610462394888732
11-1011,2010,0.0014973276353725,0.9999999999999983,HC-I-NM,0.2041037971017727,0.0003056102558849463,0.23610462394888732
11-1011,2011,0.0014657416634814,0.9999999999999982,HC-I-NM,0.2557741651966231,0.00037489885037086544,0.40037193547425676
11-1011,2012,0.001362417903407,0.9999999999999982,HC-I-NM,0.2557741651966231,0.0003484713018928595,0.40037193547425676
11-1011,2013,0.0013304638364341,0.9999999999999982,HC-I-NM,0.2557741651966231,0.00034029827708822904,0.40037193547425676
11-1011,2014,0.0012857508647975,0.9999999999999986,HC-I-NM,0.265433314106927,0.00034128111315904835,0.4747843360601659
11-1011,2015,0.0012194853578559,0.9999999999999986,HC-I-NM,0.265433314106927,0.0003236920400405639,0.4747843360601659
11-1011,2016,0.0011138839316238,0.9999999999999986,HC-I-NM,0.265433314106927,0.00029566190350135935,0.4747843360601659
11-1011,2017,0.0009466271674024,0.9999999999999986,HC-I-NM,0.265433314106927,0.00025126638626727217,0.4747843360601659
11-1011,2018,0.0008176650783342,0.9999999999999986,HC-I-NM,0.265433314106927,0.0002170355515717471,0.4747843360601659
11-1011,2019,0.0008096622893798,0.9999999999999986,HC-I-NM,0.265433314106927,0.0002149113447774824,0.4747843360601659
11-1011,2020,0.00096121320348,0.9999999999999986,HC-I-NM,0.265433314106927,0.0002551380061630328,0.4747843360601659
11-1011,2021,0.0006978640238045,0.9999999999999986,HC-I-NM,0.265433314106927,0.0001852363606344241,0.4747843360601659
11-1011,2022,0.0007347625762825,0.9999999999999986,HC-I-NM,0.265433314106927,0.00019503046570440801,0.4747843360601659
11-1011,2023,0.0008070178011352,0.9999999999999983,HC-I-NM,0.2618680653123015,0.00021133219025586285,0.43994847171696666
11-1011,2024,0.0007869521677507,0.9999999999999983,HC-I-NM,0.2618680653123015,0.00020607764166219792,0.43994847171696666
11-1021,2006,0.0065528489300041,0.9999999999999993,HC-I-NM,0.28275672448711453,0.0018528620995068538,0.5112297455870116
11-1021,2007,0.0062564189539336,0.9999999999999993,HC-I-NM,0.28275672448711453,0.0017690445304333654,0.5112297455870116
11-1021,2008,0.0061998452174884,0.9999999999999993,HC-I-NM,0.2864097465586677,0.001775696097443822,0.5188554741920509
11-1021,2009,0.0063079100022184,0.9999999999999993,HC-I-NM,0.2864097465586677,0.0018066469050502581,0.5188554741920509
11-1021,2010,0.0065249399395096,0.9999999999999993,HC-I-NM,0.2864097465586677,0.0018688063943854743,0.5188554741920509
